X(mm),Y(mm)
100,0.21
99.9753,0.2158
99.9013,0.2331
99.7781,0.2618
99.6057,0.302
99.3844,0.3534
99.1144,0.416
98.7958,0.4895
98.4292,0.5738
98.0147,0.6686
97.5528,0.7737
97.044,0.8889
96.4888,1.0137
95.8877,1.1478
95.2414,1.2911
94.5503,1.443
93.8153,1.6032
93.0371,1.7713
92.2164,1.9469
91.354,2.1296
90.4508,2.3191
89.5078,2.5147
88.5257,2.7162
87.5056,2.9231
86.4484,3.1349
85.3553,3.3512
84.2274,3.5716
83.0656,3.7955
81.8712,4.0225
80.6454,4.2523
79.3893,4.4842
78.1042,4.7179
76.7913,4.9528
75.4521,5.1885
74.0877,5.4245
72.6995,5.6604
71.289,5.8956
69.8574,6.1296
68.4062,6.362
66.9369,6.5921
65.4508,6.8196
63.9496,7.0438
62.4345,7.2642
60.9072,7.4803
59.3691,7.6914
57.8217,7.8972
56.2667,8.0968
54.7054,8.2899
53.1395,8.4757
51.5705,8.6538
50,8.8234
48.4295,8.984
46.8605,9.135
45.2946,9.2759
43.7333,9.406
42.1783,9.5247
40.6309,9.6315
39.0928,9.7259
37.5655,9.8073
36.0504,9.8752
34.5492,9.9291
33.0631,9.9686
31.5938,9.9933
30.1426,10.0028
28.711,9.9967
27.3005,9.9747
25.9123,9.9366
24.5479,9.8821
23.2087,9.8111
21.8958,9.7234
20.6107,9.619
19.3546,9.4979
18.1288,9.36
16.9344,9.2055
15.7726,9.0345
14.6447,8.8472
13.5516,8.6438
12.4944,8.4245
11.4743,8.1896
10.4922,7.9396
9.5492,7.6748
8.646,7.3956
7.7836,7.1025
6.9629,6.796
6.1847,6.4764
5.4497,6.1444
4.7586,5.8005
4.1123,5.4451
3.5112,5.0788
2.956,4.7021
2.4472,4.3156
1.9853,3.9196
1.5708,3.5147
1.2042,3.1012
0.8856,2.6797
0.6156,2.2506
0.3943,1.814
0.2219,1.3705
0.0987,0.9201
0.0247,0.4632
0,0
0.0247,-0.4632
0.0987,-0.9201
0.2219,-1.3705
0.3943,-1.814
0.6156,-2.2506
0.8856,-2.6797
1.2042,-3.1012
1.5708,-3.5147
1.9853,-3.9196
2.4472,-4.3156
2.956,-4.7021
3.5112,-5.0788
4.1123,-5.4451
4.7586,-5.8005
5.4497,-6.1444
6.1847,-6.4764
6.9629,-6.796
7.7836,-7.1025
8.646,-7.3956
9.5492,-7.6748
10.4922,-7.9396
11.4743,-8.1896
12.4944,-8.4245
13.5516,-8.6438
14.6447,-8.8472
15.7726,-9.0345
16.9344,-9.2055
18.1288,-9.36
19.3546,-9.4979
20.6107,-9.619
21.8958,-9.7234
23.2087,-9.8111
24.5479,-9.8821
25.9123,-9.9366
27.3005,-9.9747
28.711,-9.9967
30.1426,-10.0028
31.5938,-9.9933
33.0631,-9.9686
34.5492,-9.9291
36.0504,-9.8752
37.5655,-9.8073
39.0928,-9.7259
40.6309,-9.6315
42.1783,-9.5247
43.7333,-9.406
45.2946,-9.2759
46.8605,-9.135
48.4295,-8.984
50,-8.8234
51.5705,-8.6538
53.1395,-8.4757
54.7054,-8.2899
56.2667,-8.0968
57.8217,-7.8972
59.3691,-7.6914
60.9072,-7.4803
62.4345,-7.2642
63.9496,-7.0438
65.4508,-6.8196
66.9369,-6.5921
68.4062,-6.362
69.8574,-6.1296
71.289,-5.8956
72.6995,-5.6604
74.0877,-5.4245
75.4521,-5.1885
76.7913,-4.9528
78.1042,-4.7179
79.3893,-4.4842
80.6454,-4.2523
81.8712,-4.0225
83.0656,-3.7955
84.2274,-3.5716
85.3553,-3.3512
86.4484,-3.1349
87.5056,-2.9231
88.5257,-2.7162
89.5078,-2.5147
90.4508,-2.3191
91.354,-2.1296
92.2164,-1.9469
93.0371,-1.7713
93.8153,-1.6032
94.5503,-1.443
95.2414,-1.2911
95.8877,-1.1478
96.4888,-1.0137
97.044,-0.8889
97.5528,-0.7737
98.0147,-0.6686
98.4292,-0.5738
98.7958,-0.4895
99.1144,-0.416
99.3844,-0.3534
99.6057,-0.302
99.7781,-0.2618
99.9013,-0.2331
99.9753,-0.2158
100,-0.21
